title,type,genre,tags,mood_tag,mood_tag_standard,source
Dick Johnson Is Dead,Movie,Documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",Sad,Sad,Netflix
Blood & Water,TV Show,"International TV Shows, TV Dramas, TV Mysteries","After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",disgust,Stressed,Netflix
Ganglands,TV Show,"Crime TV Shows, International TV Shows, TV Action & Adventure","To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",anger,Stressed,Netflix
Jailbirds New Orleans,TV Show,"Docuseries, Reality TV","Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",neutral,Neutral,Netflix
Kota Factory,TV Show,"International TV Shows, Romantic TV Shows, TV Comedies","In a city of coaching centers known to train Indiaâs finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",neutral,Neutral,Netflix
Midnight Mass,TV Show,"TV Dramas, TV Horror, TV Mysteries","The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",fear,Anxious,Netflix
My Little Pony: A New Generation,Movie,Children & Family Movies,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals â and, hoof to heart, sheâs determined to prove it.",neutral,Neutral,Netflix
Sankofa,Movie,"Dramas, Independent Movies, International Movies","On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",disgust,Stressed,Netflix
The Great British Baking Show,TV Show,"British TV Shows, Reality TV","A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",neutral,Neutral,Netflix
The Starling,Movie,"Comedies, Dramas",A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden â and a husband who's struggling to find a way forward.,Sad,Sad,Netflix
"Vendetta: Truth, Lies and The Mafia",TV Show,"Crime TV Shows, Docuseries, International TV Shows","Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",neutral,Neutral,Netflix
Bangkok Breaking,TV Show,"Crime TV Shows, International TV Shows, TV Action & Adventure","Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",neutral,Neutral,Netflix
Je Suis Karl,Movie,"Dramas, International Movies","After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",disgust,Stressed,Netflix
Confessions of an Invisible Girl,Movie,"Children & Family Movies, Comedies","When the clever but socially-awkward TetÃª joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",neutral,Neutral,Netflix
Crime Stories: India Detectives,TV Show,"British TV Shows, Crime TV Shows, Docuseries",Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,Anxious,Anxious,Netflix
Dear White People,TV Show,"TV Comedies, TV Dramas","Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",neutral,Neutral,Netflix
Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,"Documentaries, International Movies","Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",neutral,Neutral,Netflix
Falsa identidad,TV Show,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,neutral,Neutral,Netflix
Intrusion,Movie,Thrillers,"After a deadly home invasion at a coupleâs new dream house, the traumatized wife searches for answers â and learns the real danger is just beginning.",fear,Anxious,Netflix
Jaguar,TV Show,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure","In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",disgust,Stressed,Netflix
Monsters Inside: The 24 Faces of Billy Milligan,TV Show,"Crime TV Shows, Docuseries, International TV Shows","In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",disgust,Stressed,Netflix
Resurrection: Ertugrul,TV Show,"International TV Shows, TV Action & Adventure, TV Dramas","When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",disgust,Stressed,Netflix
Avvai Shanmughi,Movie,"Comedies, International Movies","Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",disgust,Stressed,Netflix
Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,Children & Family Movies,"From arcade games to sled days and hiccup cures, Cory Carsonâs curious little sister Chrissy speeds off on her own for fun and adventure all over town!",Excited,Excited,Netflix
