date,mood,journal_entry
2025-04-01,Happy,"Feeling really good today, had a productive morning."
2025-04-02,Anxious,Nervous about the presentation tomorrow.
2025-04-03,Tired,Exhausted from barely sleeping last night.
2025-04-04,Excited,Pumped after my workout!
2025-04-05,Neutral,Just an average day.
2025-04-06,Happy,Loved catching up with friends over dinner.
2025-04-07,Tired,Physically drained and mentally tired.
2025-04-08,Anxious,Worried about some deadlines piling up.
2025-04-09,Neutral,"Balanced day, not too much stress."
2025-04-10,Happy,Great mood—had a fun creative session today!
