snapshot_month,model_version_id,business_domain,lead_validator_person_id,review_status,overdue_flag,days_overdue,current_risk_tier
2016-09-30,MV00136,Risk,P009,Open,N,0,Medium
2016-09-30,MV00136,Risk,,Open,N,0,Medium
2016-10-31,MV00136,Risk,P009,Open,N,0,Medium
2016-10-31,MV00136,Risk,,Open,N,0,Medium
2016-11-30,MV00136,Risk,P009,Open,N,0,Medium
2016-11-30,MV00136,Risk,,Open,N,0,Medium
2016-12-31,MV00136,Risk,P009,Open,N,0,Medium
2016-12-31,MV00136,Risk,,Open,N,0,Medium
2017-01-31,MV00136,Risk,P009,Open,N,0,Medium
2017-01-31,MV00136,Risk,,Open,N,0,Medium
2017-01-31,MV00247,Risk,P030,Open,N,0,High
2017-01-31,MV00247,Risk,,Open,N,0,High
2017-02-28,MV00136,Risk,P009,Open,N,0,Medium
2017-02-28,MV00136,Risk,,Open,N,0,Medium
2017-02-28,MV00247,Risk,P030,Open,N,0,High
2017-02-28,MV00247,Risk,,Open,N,0,High
2017-03-31,MV00136,Risk,P009,Open,N,0,Medium
2017-03-31,MV00136,Risk,,Open,N,0,Medium
2017-03-31,MV00139,Fraud,P018,Open,N,0,High
2017-03-31,MV00139,Fraud,,Open,N,0,High
2017-03-31,MV00247,Risk,P030,Open,N,0,High
2017-03-31,MV00247,Risk,,Open,N,0,High
2017-03-31,MV00301,Servicing,P005,Open,N,0,High
2017-03-31,MV00301,Servicing,,Open,N,0,High
2017-04-30,MV00136,Risk,P009,Open,N,0,Medium
2017-04-30,MV00136,Risk,,Open,N,0,Medium
2017-04-30,MV00139,Fraud,P018,Open,N,0,High
2017-04-30,MV00139,Fraud,,Open,N,0,High
2017-04-30,MV00247,Risk,P030,Open,N,0,High
2017-04-30,MV00247,Risk,,Open,N,0,High
2017-04-30,MV00301,Servicing,P005,Open,N,0,High
2017-04-30,MV00301,Servicing,,Open,N,0,High
2017-05-31,MV00136,Risk,P009,Open,N,0,Medium
2017-05-31,MV00136,Risk,,Open,N,0,Medium
2017-05-31,MV00139,Fraud,P018,Open,N,0,High
2017-05-31,MV00139,Fraud,,Open,N,0,High
2017-05-31,MV00247,Risk,P030,Open,N,0,High
2017-05-31,MV00247,Risk,,Open,N,0,High
2017-05-31,MV00301,Servicing,P005,Open,N,0,High
2017-05-31,MV00301,Servicing,,Open,N,0,High
2017-06-30,MV00044,Fraud,P022,Open,N,0,Medium
2017-06-30,MV00044,Fraud,,Open,N,0,Medium
2017-06-30,MV00136,Risk,P009,Open,N,0,Medium
2017-06-30,MV00136,Risk,,Open,N,0,Medium
2017-06-30,MV00139,Fraud,P018,Open,N,0,High
2017-06-30,MV00139,Fraud,,Open,N,0,High
2017-06-30,MV00247,Risk,P030,Open,N,0,High
2017-06-30,MV00247,Risk,,Open,N,0,High
2017-06-30,MV00301,Servicing,P005,Open,N,0,High
2017-06-30,MV00301,Servicing,,Open,N,0,High
2017-07-31,MV00044,Fraud,P022,Open,N,0,Medium
2017-07-31,MV00044,Fraud,,Open,N,0,Medium
2017-07-31,MV00136,Risk,P009,Open,N,0,Medium
2017-07-31,MV00136,Risk,,Open,N,0,Medium
2017-07-31,MV00139,Fraud,P018,Open,N,0,High
2017-07-31,MV00139,Fraud,,Open,N,0,High
2017-07-31,MV00247,Risk,P030,Open,N,0,High
2017-07-31,MV00247,Risk,,Open,N,0,High
2017-07-31,MV00255,Risk,P004,Open,N,0,Medium
2017-07-31,MV00255,Risk,,Open,N,0,Medium
2017-07-31,MV00301,Servicing,P005,Open,N,0,High
2017-07-31,MV00301,Servicing,,Open,N,0,High
2017-08-31,MV00044,Fraud,P022,Open,N,0,Medium
2017-08-31,MV00044,Fraud,,Open,N,0,Medium
2017-08-31,MV00062,Servicing,P006,Open,N,0,Medium
2017-08-31,MV00062,Servicing,,Open,N,0,Medium
2017-08-31,MV00136,Risk,P009,Open,N,0,Medium
2017-08-31,MV00136,Risk,,Open,N,0,Medium
2017-08-31,MV00139,Fraud,P018,Open,N,0,High
2017-08-31,MV00139,Fraud,,Open,N,0,High
2017-08-31,MV00246,Risk,P007,Open,N,0,
2017-08-31,MV00246,Risk,,Open,N,0,
2017-08-31,MV00247,Risk,P030,Open,N,0,High
2017-08-31,MV00247,Risk,,Open,N,0,High
2017-08-31,MV00255,Risk,P004,Open,N,0,Medium
2017-08-31,MV00255,Risk,,Open,N,0,Medium
2017-08-31,MV00301,Servicing,P005,Open,N,0,High
2017-08-31,MV00301,Servicing,,Open,N,0,High
2017-09-30,MV00044,Fraud,P022,Open,N,0,Medium
2017-09-30,MV00044,Fraud,,Open,N,0,Medium
2017-09-30,MV00062,Servicing,P006,Open,N,0,Medium
2017-09-30,MV00062,Servicing,,Open,N,0,Medium
2017-09-30,MV00136,Risk,P009,Open,N,0,Medium
2017-09-30,MV00136,Risk,,Open,N,0,Medium
2017-09-30,MV00139,Fraud,P018,Open,N,0,High
2017-09-30,MV00139,Fraud,,Open,N,0,High
2017-09-30,MV00246,Risk,P007,Open,N,0,
2017-09-30,MV00246,Risk,,Open,N,0,
2017-09-30,MV00247,Risk,P030,Open,N,0,High
2017-09-30,MV00247,Risk,,Open,N,0,High
2017-09-30,MV00255,Risk,P004,Open,N,0,Medium
2017-09-30,MV00255,Risk,,Open,N,0,Medium
2017-09-30,MV00301,Servicing,P005,Open,N,0,High
2017-09-30,MV00301,Servicing,,Open,N,0,High
2017-10-31,MV00044,Fraud,P022,Open,N,0,Medium
2017-10-31,MV00044,Fraud,,Open,N,0,Medium
2017-10-31,MV00062,Servicing,P006,Open,N,0,Medium
2017-10-31,MV00062,Servicing,,Open,N,0,Medium
2017-10-31,MV00098,Servicing,P011,Open,N,0,Medium
2017-10-31,MV00098,Servicing,,Open,N,0,Medium
2017-10-31,MV00136,Risk,P009,Open,N,0,Medium
2017-10-31,MV00136,Risk,,Open,N,0,Medium
2017-10-31,MV00139,Fraud,P018,Open,N,0,High
2017-10-31,MV00139,Fraud,,Open,N,0,High
2017-10-31,MV00246,Risk,P007,Open,N,0,
2017-10-31,MV00246,Risk,,Open,N,0,
2017-10-31,MV00247,Risk,P030,Open,N,0,High
2017-10-31,MV00247,Risk,,Open,N,0,High
2017-10-31,MV00255,Risk,P004,Open,N,0,Medium
2017-10-31,MV00255,Risk,,Open,N,0,Medium
2017-10-31,MV00301,Servicing,P005,Open,N,0,High
2017-10-31,MV00301,Servicing,,Open,N,0,High
2017-11-30,MV00044,Fraud,P022,Open,N,0,Medium
2017-11-30,MV00044,Fraud,,Open,N,0,Medium
2017-11-30,MV00062,Servicing,P006,Open,N,0,Medium
2017-11-30,MV00062,Servicing,,Open,N,0,Medium
2017-11-30,MV00098,Servicing,P011,Open,N,0,Medium
2017-11-30,MV00098,Servicing,,Open,N,0,Medium
2017-11-30,MV00136,Risk,P009,Open,N,0,Medium
2017-11-30,MV00136,Risk,,Open,N,0,Medium
2017-11-30,MV00139,Fraud,P018,Open,N,0,High
2017-11-30,MV00139,Fraud,,Open,N,0,High
2017-11-30,MV00246,Risk,P007,Open,N,0,
2017-11-30,MV00246,Risk,,Open,N,0,
2017-11-30,MV00247,Risk,P030,Open,N,0,High
2017-11-30,MV00247,Risk,,Open,N,0,High
2017-11-30,MV00255,Risk,P004,Open,N,0,Medium
2017-11-30,MV00255,Risk,,Open,N,0,Medium
2017-11-30,MV00301,Servicing,P005,Open,N,0,High
2017-11-30,MV00301,Servicing,,Open,N,0,High
2017-12-31,MV00044,Fraud,P022,Open,N,0,Medium
2017-12-31,MV00044,Fraud,,Open,N,0,Medium
2017-12-31,MV00062,Servicing,P006,Open,N,0,Medium
2017-12-31,MV00062,Servicing,,Open,N,0,Medium
2017-12-31,MV00098,Servicing,P011,Open,N,0,Medium
2017-12-31,MV00098,Servicing,,Open,N,0,Medium
2017-12-31,MV00136,Risk,P009,Open,N,0,Medium
2017-12-31,MV00136,Risk,,Open,N,0,Medium
2017-12-31,MV00139,Fraud,P018,Open,N,0,High
2017-12-31,MV00139,Fraud,,Open,N,0,High
2017-12-31,MV00246,Risk,P007,Open,N,0,
2017-12-31,MV00246,Risk,,Open,N,0,
2017-12-31,MV00247,Risk,P030,Open,N,0,High
2017-12-31,MV00247,Risk,,Open,N,0,High
2017-12-31,MV00255,Risk,P004,Open,N,0,Medium
2017-12-31,MV00255,Risk,,Open,N,0,Medium
2017-12-31,MV00301,Servicing,P005,Open,N,0,High
2017-12-31,MV00301,Servicing,,Open,N,0,High
