title,description,genre,type,poster_url,predicted_emotions,tone_tags
Dick Johnson Is Dead,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",Documentaries,Movie,https://image.tmdb.org/t/p/w500/vnfI34kmi3fcdgP7HZjIgGOJHGY.jpg,['neutral'],[]
Blood & Water,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.","International TV Shows, TV Dramas, TV Mysteries",TV Show,https://image.tmdb.org/t/p/w500/NFHy3z1taQ8nzudDHeVIJnih3J.jpg,['neutral'],[]
Ganglands,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.","Crime TV Shows, International TV Shows, TV Action & Adventure",TV Show,https://image.tmdb.org/t/p/w500/3E6IPkHH541ii41NKpU5loI4fcr.jpg,['neutral'],[]
Jailbirds New Orleans,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.","Docuseries, Reality TV",TV Show,https://image.tmdb.org/t/p/w500/pA7urHEBVDSJR7Cn7bANRbhwly7.jpg,['neutral'],[]
Kota Factory,"In a city of coaching centers known to train Indiaâs finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.","International TV Shows, Romantic TV Shows, TV Comedies",TV Show,https://image.tmdb.org/t/p/w500/7Pi6b2gFgwKtxniTqFQNxHPsJQ.jpg,"['admiration', 'neutral']",[]
Midnight Mass,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.","TV Dramas, TV Horror, TV Mysteries",TV Show,https://image.tmdb.org/t/p/w500/iYoMZYVD775MtBYJfv6OGY1FsnL.jpg,[],[]
My Little Pony: A New Generation,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals â and, hoof to heart, sheâs determined to prove it.",Children & Family Movies,Movie,https://image.tmdb.org/t/p/w500/uvbj8puRj37Pc8FS4rIfVeReYFF.jpg,['neutral'],[]
Sankofa,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.","Dramas, Independent Movies, International Movies",Movie,https://image.tmdb.org/t/p/w500/t5PTcnhZgHzL7HUZKQP95UQDD5o.jpg,"['sadness', 'neutral']","['Bittersweet', 'Melancholic']"
The Great British Baking Show,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.","British TV Shows, Reality TV",TV Show,https://image.tmdb.org/t/p/w500/skYZXrCiYyv0B9YI01WwhKxuZF4.jpg,"['approval', 'optimism']","['Uplifting', 'Redemptive']"
The Starling,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden â and a husband who's struggling to find a way forward.,"Comedies, Dramas",Movie,https://image.tmdb.org/t/p/w500/gPkaPGNbjZCeRurSYGi0JD63DBa.jpg,['neutral'],[]
